objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"51st State: Master Set","192458","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130325","7.03359","7.55442","2.8939","453","9823","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"6: Siege – The Board Game","338067","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517410","5.64273","6.06248","3.4694","7445","1391","thing","6: Siege – The Board Game","2","4","60","60","60","2024","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Adrenaline","202408","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136103000","6.59577","6.98034","2.375","1081","9243","thing","Adrenaline","3","5","60","60","30","2016","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: Outcasts","299317","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130352","6.5127","8.48662","2.96","1250","4120","thing","Aeon's End: Outcasts","1","4","60","60","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: War Eternal","218417","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130345","7.46961","8.23317","2.9157","145","14413","thing","Aeon's End: War Eternal","1","4","60","60","60","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136102994","7.39866","7.63726","3.925","172","32761","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alone","181495","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517426","6.03142","7.49306","3.3125","2918","2968","thing","Alone","2","4","120","120","60","2019","2,3","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt","285967","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537032","7.28044","7.74628","3.1294","241","18883","thing","Ankh: Gods of Egypt","2","5","90","90","90","2021","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt – Guardians Set","308321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537044","6.04991","7.84745","3","0","6079","thing","Ankh: Gods of Egypt – Guardians Set","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt – Pantheon","307807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537048","6.27322","8.23268","3","0","6800","thing","Ankh: Gods of Egypt – Pantheon","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apex Legends: The Board Game","380681","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136389078","5.61327","7.79935","3.4","8471","377","thing","Apex Legends: The Board Game","2","6","90","90","60","2025","2,4,5,6","4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130538","7.13731","7.58907","2.5335","352","16951","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest: Beyond the Grave","156089","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130550","6.3608","8.24724","2.6667","0","5663","thing","Arcadia Quest: Beyond the Grave","2","4","60","60","60","2015","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Arcadia Quest: Inferno","179803","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130558","6.64237","7.85163","2.4615","1001","7921","thing","Arcadia Quest: Inferno","2","4","120","120","60","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
